index,q,a
1,【Sustainable Management】,"SET's vision is to become Taiwan's most sustainable media company. Rooted in the power of mass media, we integrate technological innovation and sustainability strategies into our operations and governance, advancing ESG and building a resilient Taiwanese media enterprise."
2,【Environment】Green Operations,"Low-Carbon Transformation
Having traveled across Taiwan and the world, SET deeply understands the importance of environmental protection. Our goal of 'green operations' reduces our environmental impact, while our media influence transforms environmental conservation into a shared social mission."
3,【Social】Happy Workplace,"A Diverse & Inclusive Work Environment
SET believes that the key to sustainable development lies in a friendly workplace and a caring corporate environment. We embrace people-centered talent development and leverage technology to accelerate digital transformation, uphold professional excellence, and foster an inclusive, resilient media organization."
4,【Governance】Innovation & Transformation,"AI FIRST
As 'Taiwan's TV Station,' SET strives to create and share quality Taiwanese content and values—letting the world see the best of Taiwan. As the 'Fourth Estate,' media bears responsibility for truth, public affairs reporting, and safeguarding public interest. Guided by our 'AI FIRST' strategy, we stay ahead of technological change while holding firm to professionalism, quality, and positive energy."
5,Sustainability in Action: Low-Carbon Reporting,"6 hybrid electric vehicles now deployed for greener news coverage."
6,Sustainability in Action: Energy Upgrades,"Studio LED lighting saves NT$1.62M in electricity and cuts 178.6 tonnes of CO₂ per year."
7,Sustainability in Action: Resource Management,"Paperless e-documents save 650 reams of paper per year—equivalent to protecting 91 trees."
8,Sustainability in Action: Employee Wellness,"Staff accumulate 240 million steps per year (≈200 laps around Taiwan), reducing 34.3 tonnes of CO₂."
9,Sustainability in Action: Plastic-Free Dining,"Disposable tableware and plastic bags banned in staff canteens, keeping 218,000 waste items out of the environment each year."
10,Sustainability in Action: Biodiversity,"International conservation productions including Asian Cat Renaissance, Art in the Warzone, and My Animal Classmates document endangered species; the 'Ecological Story Train' brings conservation education to campuses."
11,Sustainability in Action: Sustainable Communities,"From Adventure King to I Like to Play to One Night in the Wild, SET has won numerous Golden Bell Awards."
12,Sustainability in Action: Professional Excellence,"SET's outstanding governance has earned it the top 'Consumer Ideal Brand' award for consecutive years and the 'Happy Enterprise Gold Award'."
13,Sustainability in Action: UN SDGs,"SET champions 9 of the UN's 17 Sustainable Development Goals (SDGs) as the foundation of its ESG vision—becoming a force for sustainability and co-creating a better, greener Taiwan."
14,"After switching studio lights to LED, how much did SET save per year?","NT$1.62 million
NT$1.62 million — enough to buy over 30,000 cups of bubble tea!"
15,"Of the UN's 17 Sustainable Development Goals (SDGs), how many does SET champion?","9 goals
SET champions 9 of the 17 UN SDGs!"
16,"By banning disposable tableware and plastic bags, how many waste items were kept out of the environment?","218,000 items
218,000 items! Every plastic bag refused means less burden on our planet."
17,"SET's outstanding governance has earned it the top rank for which award, for multiple consecutive years?","Consumer Ideal Brand Award
SET has topped the 'Consumer Ideal Brand' rankings year after year!"
18,What is SET's guiding goal for staying ahead in the era of technological transformation?,"AI FIRST
AI FIRST! Technology leads the way in media transformation."
19,Which of the following SET programs has won a Golden Bell Award?,"All of the above (One Night in the Wild / MR.PLAYER / Super Nightclub)
All of the above! SET's Golden Bell Award-winning lineup speaks for itself."
20,SET employees accumulated how many laps around Taiwan through their annual walking campaign?,"Approx. 200 laps
Approx. 200 laps! 240 million steps per year — and 34.3 tonnes of CO₂ saved. A win for both health and sustainability!"
21,Which of the following is a SET production focused on biodiversity?,"All of the above (Art in the Warzone / My Animal Classmates / Asian Cat Renaissance)
All of the above! SET's international conservation productions — Asian Cat Renaissance, Art in the Warzone, and My Animal Classmates — all document endangered species."
22,Which of the following best represents SET's core value of corporate governance through media responsibility?,"Producing humanitarian reporting that fulfills media's social responsibility
Media responsibility is the soul of governance! From warzone reporting to cultural documentation, SET uses content to convey truth, goodness, and beauty — inspiring society to see a better possibility."
