q,a,indexes
"Ploom X 機身有哪些顏色？","Ploom X 機身共有 3 種顏色：極曜紅、銀、灰。","1. Ploom X 有什麼顏色？\n2. 機身顏色有幾種？\n3. 加熱器有哪些顏色可以選？\n4. Ploom X 顏色款式\n5. 加熱器顏色"
"Ploom X 前保護殼有哪些顏色？","Ploom X 前保護殼共有 12 種顏色：珊瑚紅、玫瑰金、湖水綠、香檳金、星空灰、星魅銀、曜岩黑、叢林綠、薰衣紫、熔岩紅、芒果黃、海水藍。前保護殼可輕鬆更換，讓您隨時搭配不同風格。","1. 前保護殼有什麼顏色？\n2. 前保護殼款式\n3. 保護殼顏色選擇\n4. Front Panel 顏色\n5. 前蓋有幾種顏色"
"Ploom X 後保護殼有哪些顏色？","Ploom X 後保護殼共有 7 種顏色：駝色皮革、黑色皮革、紅色織布、綠色織布、藍色織布、灰色織布、黑色織布。材質分為皮革和織布兩種。","1. 後保護殼有什麼顏色？\n2. 後保護殼款式\n3. 後保護殼材質\n4. 後蓋有幾種顏色"
"Ploom X 的規格是什麼？","Ploom X 規格如下：\n電池：鋰離子電池 2,800 mAh\n尺寸：約 43.5 mm 寬 x 88.5 mm 高 x 24.0 mm\n輸入端子：USB Type-C\n充電時間：約 110 分鐘\n充飽電可使用：至少 20 根菸彈\n額定電壓/電流：5V ⎓ / 1.5A\n加熱時間：25 秒\n使用時間：5 分鐘不限口數\n最多可連續啟動 3 次","1. Ploom X 規格\n2. Ploom X 尺寸\n3. 電池容量多少\n4. 充電時間多久\n5. 一次充電可以用多久"
"Ploom X 有哪些配件？","Ploom X 配件包括：\n1. 充電底座\n2. 隨身收納盒\n3. 前保護殼（12 色可選）\n4. 後保護殼（7 色可選）\n5. 清潔棒\n6. 充電器/傳輸線（USB-C）\n7. 車用支架\n8. 織布收納包（黑、灰、藍、綠、紅）\n9. 菸彈收納盒","1. Ploom X 有什麼配件？\n2. 可以買哪些配件？\n3. 有什麼周邊商品？\n4. 配件有哪些"
"隨身收納盒有什麼特色？","Ploom X 隨身收納盒採用全粒面皮革與耐用織物混合製成，內襯柔軟超細纖維，提供舒適、安全與時尚感。可同時收納 Ploom X 裝置、一包菸彈、攜帶式菸彈托盤、清潔棒等配件。收納盒可獨立站立，適合家用或辦公室使用。尺寸：15.3 x 7.5 x 2.9 cm，重量 53g。","1. 收納盒有什麼功能？\n2. 收納盒可以放什麼？\n3. 隨身收納盒材質\n4. 收納盒尺寸"
"織布收納包有哪些顏色？","織布收納包共有 5 種顏色：黑色、灰色、藍色、綠色、紅色。收納包採用全粒面皮革和耐用織物製成，內襯超細纖維保護內容物，可獨立站立，方便家用或辦公室使用，並可在收納盒內為裝置充電。","1. 收納包有什麼顏色？\n2. 織布收納包款式\n3. 收納包材質\n4. 收納包功能"
"清潔棒怎麼使用？","將 Ploom 清潔棒插入裝置，轉動幾次即可清除殘留物。建議每使用完一包菸彈後檢查裝置是否有殘留物。清潔棒專為 Ploom X 設計，每包有 10 支清潔棒。保持裝置清潔有助於維持風味和使用體驗。","1. 怎麼清潔 Ploom X？\n2. 清潔棒怎麼用？\n3. 多久清潔一次？\n4. 清潔工具\n5. 一包有幾支清潔棒"
"車用支架有什麼特色？","Ploom X 車用支架設計優雅、中性且簡約，可輕鬆固定在任何現代汽車通風口，橡膠夾具牢固夾住裝置，同時支援充電。車用支架可固定在後保護殼上。為安全起見，請僅在車輛靜止時安裝車用支架。","1. 車用支架怎麼用？\n2. 可以在車上充電嗎？\n3. 車用支架怎麼固定？\n4. 車用配件"
"菸彈收納盒有什麼功能？","菸彈收納盒小巧時尚，方便外出攜帶。可固定在菸彈補充包上，最多可容納 6 根使用過的菸彈，讓您在移動中享受無縫的加熱菸體驗。","1. 菸彈收納盒可以裝幾根？\n2. 收納盒怎麼用？\n3. 用過的菸彈怎麼收？\n4. 菸彈托盤"
"充電底座的規格是什麼？","充電底座規格如下：\n尺寸：5.68 (L) x 4.71 (W) x 1.8 (H) cm\n傳輸線長：75 cm\n重量：92.5g\n材質：鋁、矽氧樹脂\n額定電壓/電流：5V ⎓ / 1.5A\n充電時間：約 110 分鐘","1. 充電底座規格\n2. 充電底座尺寸\n3. 傳輸線多長\n4. 充電底座材質"
