q,a,indexes
"什麼是加熱菸？","紙菸與加熱菸兩者皆含有菸草，前者為燃燒式菸品而後者為加熱式菸品，加熱菸在加熱後可釋放與吸入菸草蒸氣，但不會有燃燒所產生的煙霧，也可降低殘留菸味。","1. 加熱菸是什麼？\n2. 加熱菸和紙菸有什麼差別？\n3. 加熱菸會產生煙霧嗎？\n4. 加熱菸會有菸味嗎？"
"Ploom X加熱器及MEVIUS七星加熱菸彈在台灣的販售價格？","目前在台核准販售的Ploom X加熱器售價為新台幣600元；六款MEVIUS七星加熱菸彈售價為每包新台幣130元。","1. Ploom X加熱器多少錢？\n2. 七星加熱菸彈價格多少？\n3. 加熱菸彈一包多少錢？\n4. 加熱器售價是多少？"
"台灣上市的MEVIUS七星加熱菸彈有哪些口味？","目前上市六款MEVIUS七星加熱菸彈，其中四款為原味系列，差異在於濃度不同，兩款為風味系列，分別為薄荷及藍莓。","1. 七星加熱菸彈有幾種口味？\n2. 有什麼口味可以選擇？\n3. 七星菸彈有薄荷口味嗎？\n4. 加熱菸彈有藍莓口味嗎？"
"七星菸彈跟七星紙菸抽起來味道一樣嗎？","加熱菸與紙菸屬不同品類，因此風味不同。JTI使用最高品質LAMINA去梗原始菸葉，搭配專利的HeatFlow熱對流菸草加熱科技，以提供極致的純正菸草風味。","1. 加熱菸和紙菸味道一樣嗎？\n2. 七星加熱菸彈跟紙菸風味相同嗎？\n3. 加熱菸的味道如何？\n4. HeatFlow技術是什麼？"
"Ploom X加熱器及MEVIUS七星加熱菸彈目前在哪些通路銷售？","目前消費者可在全國既有菸品銷售通路購買到Ploom X加熱器及MEVIUS七星加熱菸彈，包括各大超商、量販超市以及部分菸酒專賣據點。所有銷售通路皆應遵守《菸害防制法》對於加熱菸產品之相關行銷規範及法規。","1. 哪裡可以買到Ploom X？\n2. 加熱菸在哪裡販售？\n3. 超商有賣加熱菸嗎？\n4. 七星加熱菸彈哪裡買？"
"Ploom X與其他品牌加熱菸有何不同？","Ploom X加熱器採用獨家HeatFlow™技術，給予加熱菸菸彈最佳的加熱溫度，穩定地提供持續且濃郁的菸草風味。因其設計是透過外部加熱，因此無論是在菸棒內部或裝置本身，都無需刀片輔助加熱。","1. Ploom X有什麼特色？\n2. Ploom X跟其他加熱菸有什麼不一樣？\n3. HeatFlow技術有什麼優點？\n4. Ploom X需要刀片嗎？"
"Ploom X加熱器是否有保固或售後服務？","消費者完成產品註冊即享有18個月保固服務，一次人為損壞服務，並支援到府服務。","1. Ploom X有保固嗎？\n2. 加熱器保固多久？\n3. Ploom X有售後服務嗎？\n4. 如何申請保固服務？"
"是否有促銷活動或試用？","依據《菸害防制法》規定，所有菸品（含加熱菸）不得以任何形式進行促銷、贈品、折扣、試用或廣告宣傳。","1. 加熱菸有促銷嗎？\n2. 可以試用加熱菸嗎？\n3. 有折扣活動嗎？\n4. 可以索取試用品嗎？"
"Ploom X菸草加熱器的加熱溫度是多少？","295度。","1. Ploom X加熱溫度多少？\n2. 加熱器會加熱到幾度？\n3. Ploom X的工作溫度是多少？"
"如果加熱後一直放著不抽，加熱器還會持續加熱嗎？","會。Ploom每一根菸彈都能抽5分鐘，在此時段中會持續加熱以提供穩定菸草風味，時間到後即會停止加熱。","1. 加熱器會一直加熱嗎？\n2. 一根菸彈可以抽多久？\n3. 不抽的話會自動停止嗎？\n4. 菸彈使用時間多長？"
"可以途中結束吸菸嗎？","可以，即使Ploom每一根菸彈可使用5分鐘，但只需要將菸彈取出並關上滑蓋，加熱器即會停止加熱。","1. 可以中途停止嗎？\n2. 怎麼提前結束加熱？\n3. 如何讓加熱器停止？\n4. 菸彈抽一半可以停嗎？"
"Ploom X如何清潔或保養？","使用附贈的清潔棉棒即可輕鬆完成清潔。","1. Ploom X怎麼清潔？\n2. 加熱器如何保養？\n3. 清潔需要什麼工具？\n4. 怎麼維護加熱器？"
"Ploom X電池續航力如何？","充電時間約110分鐘，充飽電1次使用至少20根菸彈。","1. Ploom X充電要多久？\n2. 充飽電可以用多久？\n3. 電池續航力如何？\n4. 一次充電可以抽幾根？"
"Ploom X有沒有APP可以連線或設定？","目前台灣版本未啟用APP功能。","1. Ploom X有APP嗎？\n2. 可以用手機連線嗎？\n3. 台灣版有藍牙功能嗎？\n4. 可以用APP控制嗎？"
"各廠商的菸彈跟加熱器可以通用嗎？","不可以。各廠牌菸彈應分開獨立使用。不同廠牌的菸彈與加熱器搭配使用，可能會造成加熱器的損壞，以及其他損害。","1. 菸彈可以混用嗎？\n2. 其他牌子的菸彈可以用嗎？\n3. 不同品牌可以通用嗎？\n4. 用別牌菸彈會怎樣？"
"加熱器是否可回收？","Ploom X加熱器屬於電子產品，使用完畢後請勿任意丟棄。","1. 加熱器可以回收嗎？\n2. 舊的加熱器怎麼處理？\n3. 加熱器要怎麼丟棄？\n4. 加熱器是電子產品嗎？"
"台灣販賣的Ploom X載具及MEVIUS七星加熱菸彈製造地為何？會不會在台灣生產製造？","Ploom X載具在印尼生產進口，而七星加熱菸彈則由波蘭生產並供應市場。至於是否在台灣生產，目前未能確定。","1. Ploom X是哪裡製造的？\n2. 七星菸彈產地是哪裡？\n3. 加熱器是進口的嗎？\n4. 會在台灣生產嗎？"
"JTI的加熱菸載具是否符合台灣的認證與安全規範？","本公司致力於提供符合在地法規與安全標準的產品。我們的加熱菸遵循主管機關訂定之指定菸品健康風險評估審查辦法送件審查，確保產品符合主管機關要求之安全與品質標準。","1. 加熱器有通過認證嗎？\n2. Ploom X符合安全規範嗎？\n3. JTI產品有經過審查嗎？\n4. 加熱菸合法嗎？"
"日本製的菸，品質是否比台灣更好？","我們從世界各地收購高品質菸草，嚴格品質把關生產流程，以確保消費者不管在哪裡都購買到最高品質的產品。","1. 日本菸品質比較好嗎？\n2. 台灣賣的品質如何？\n3. 菸草來源是哪裡？\n4. 品質有保障嗎？"
"為什麼日本可以買到Ploom AURA，但台灣還在賣Ploom X？","目前通過核准之菸草加熱器機型是Ploom X，其他機型尚未被核准。","1. 台灣為什麼沒有Ploom AURA？\n2. 新款加熱器什麼時候上市？\n3. 為什麼日本有新機型？\n4. Ploom AURA會在台灣上市嗎？"
"台灣什麼時候能買到新款加熱器？","取決於政府審核流程。","1. 新機型什麼時候上市？\n2. 台灣會有新款加熱器嗎？\n3. 審核要多久？\n4. 什麼時候有新產品？"
"加熱菸可以戒菸嗎？","加熱菸不是戒菸產品。使用Ploom X並不代表能完全消除與菸草使用相關的健康風險。任何菸草產品都有風險。","1. 加熱菸可以幫助戒菸嗎？\n2. 加熱菸比較健康嗎？\n3. 加熱菸是戒菸產品嗎？\n4. 加熱菸有健康風險嗎？"
"JTI對於目前加熱菸載具陳列及尼古丁標示的立場為何？","JTI一向遵循當地法律規範，關於加熱菸載具陳列及尼古丁標示，皆依主管機關訂定之《菸害防制法》及《菸品尼古丁焦油含量檢測及容器標示辦法》之相關規定辦理。","1. JTI對尼古丁標示的立場是什麼？\n2. 加熱菸陳列有規定嗎？\n3. JTI遵守什麼法規？\n4. 尼古丁含量有標示嗎？"
"現在可否從日本攜帶加熱菸回台灣？","台灣首波合法加熱菸於10月開賣，國健署提醒，未來民眾若想從國外帶回台灣，未經國內核准通過的加熱菸及其組合元件，仍不得攜帶入境，違者最高可處500萬元罰鍰。民眾務必注意，避免觸法。","1. 可以從日本帶加熱菸回台灣嗎？\n2. 攜帶未核准的加熱菸會怎樣？\n3. 從國外帶加熱菸入境合法嗎？\n4. 違法攜帶加熱菸罰多少？"
"JTI怎麼看待加熱菸水貨及走私問題？","菸品走私長期以來都是全球市場監管的重要課題。有效打擊非法菸品需要政府、執法機關及企業的共同努力，包括強化法規、加強邊境管制以及提升消費者對正規管道購買的重要性認識。","1. JTI對水貨的看法是什麼？\n2. 加熱菸走私問題嚴重嗎？\n3. 如何打擊非法菸品？\n4. JTI對走私問題的立場？"
"JTI對於菸稅調漲的立場是什麼？","由於菸稅及菸捐是由政府政策決定，JTI對此尊重並遵守當地法規。","1. JTI對菸稅的看法？\n2. 菸稅會調漲嗎？\n3. JTI對菸捐的立場？\n4. 菸稅由誰決定？"
